employeeid,occupation_orig,occupationalclassification
90045405,STUDENT,Student
90032828,STUDENT,Student
90022211,STUDENT,Student
90032459,STUDENT,Student
90020980,STUDENT,Student
90044261,STUDENT,Student
90022590,STUDENT,Student
90049372,STUDENT,Student
90048480,STUDENT,Student
90031317,STUDENT,Student
90024374,STUDENT,Student
90046645,STUDENT,Student
90026973,STUDENT,Student
90042059,STUDENT,Student
90023388,STUDENT,Student
90047383,STUDENT,Student
90022565,STUDENT,Student
90023469,STUDENT,Student
90047757,STUDENT,Student
90046449,STUDENT,Student
90044333,STUDENT,Student
90047948,STUDENT,Student
90043493,STUDENT,Student
90034148,STUDENT,Student
90028536,STUDENT,Student
90040028,STUDENT,Student
90025451,STUDENT,Student
29227,STUDENT,Student
90021702,STUDENT,Student
90022539,STUDENT,Student
90022598,STUDENT,Student
90034625,STUDENT,Student
90050420,STUDENT,Student
90023926,STUDENT,Student
90022181,STUDENT,Student
90034247,STUDENT,Student
90049937,STUDENT,Student
90042380,STUDENT,Student
90046475,STUDENT,Student
90027522,STUDENT,Student
90023993,STUDENT,Student
90021844,STUDENT,Student
90048617,STUDENT,Student
90043600,STUDENT,Student
90030004,STUDENT,Student
90045709,STUDENT,Student
90038479,STUDENT,Student
90046304,STUDENT,Student
90024592,STUDENT,Student
90044269,STUDENT,Student
90021677,STUDENT,Student
90037330,STUDENT,Student
90050724,STUDENT,Student
90045123,STUDENT,Student
90048980,STUDENT,Student
90022986,STUDENT,Student
90024886,STUDENT,Student
90025519,STUDENT,Student
90042649,STUDENT,Student
90022232,STUDENT,Student
90043305,STUDENT,Student
90045690,STUDENT,Student
90022621,STUDENT,Student
90047761,STUDENT,Student
90047097,STUDENT,Student
90044765,STUDENT,Student
90020702,STUDENT,Student
90040465,STUDENT,Student
90047105,STUDENT,Student
90048518,STUDENT,Student
90024334,STUDENT,Student
90045254,STUDENT,Student
90050427,STUDENT,Student
90048941,STUDENT,Student
36987,STUDENT,Student
90024808,STUDENT,Student
90027536,STUDENT,Student
90043374,STUDENT,Student
90049846,STUDENT,Student
90026697,STUDENT,Student
90047585,STUDENT,Student
90022703,STUDENT,Student
90046177,STUDENT,Student
90028539,STUDENT,Student
90045067,STUDENT,Student
29193,STUDENT,Student
90023579,STUDENT,Student
90021076,STUDENT,Student
90022554,STUDENT,Student
90049097,STUDENT,Student
90021232,STUDENT,Student
90021778,STUDENT,Student
90048631,STUDENT,Student
90020723,STUDENT,Student
90026579,STUDENT,Student
90045447,STUDENT,Student
90046854,STUDENT,Student
90023554,STUDENT,Student
90049317,STUDENT,Student
90050410,STUDENT,Student
90020655,STUDENT,Student
90020779,STUDENT,Student
90020830,STUDENT,Student
90020502,STUDENT,Student
90045572,STUDENT,Student
90020503,STUDENT,Student
90022567,STUDENT,Student
90022172,STUDENT,Student
90024249,STUDENT,Student
90024730,STUDENT,Student
90033151,STUDENT,Student
90045113,STUDENT,Student
90020580,STUDENT,Student
90047980,STUDENT,Student
90045895,STUDENT,Student
90021873,STUDENT,Student
90022364,STUDENT,Student
90023638,STUDENT,Student
90028843,STUDENT,Student
90045507,STUDENT,Student
90043483,STUDENT,Student
90049709,STUDENT,Student
90050412,STUDENT,Student
90049479,STUDENT,Student
90046267,STUDENT,Student
90049333,STUDENT,Student
90048028,STUDENT,Student
90031626,STUDENT,Student
90049558,STUDENT,Student
90023385,STUDENT,Student
90022948,STUDENT,Student
90022163,STUDENT,Student
90021238,STUDENT,Student
90034319,STUDENT,Student
90022302,STUDENT,Student
90035162,STUDENT,Student
90022054,STUDENT,Student
90049354,STUDENT,Student
90049247,STUDENT,Student
90023169,STUDENT,Student
90048749,STUDENT,Student
90020566,STUDENT,Student
90023149,STUDENT,Student
90020531,STUDENT,Student
90022152,STUDENT,Student
90024517,STUDENT,Student
90049754,STUDENT,Student
37759,STUDENT,Student
90047300,STUDENT,Student
90045547,STUDENT,Student
90032581,STUDENT,Student
20479,STUDENT,Student
90034488,STUDENT,Student
90039240,STUDENT,Student
90021341,STUDENT,Student
90044163,STUDENT,Student
90039108,STUDENT,Student
